LOCATION,X SERIAL,Y SERIAL,Z SERIAL,OT1
0.750814,-60.033683,-34.487909,-1.217499,0.000225
0.800745,-63.966571,-36.733178,-3.154535,0.012247
0.850741,-67.791071,-38.909438,-5.365519,0.008247
0.900579,-71.535353,-41.041586,-7.752605,0.016932
0.950286,-75.393669,-43.252146,-9.867209,0.05358
1,-79.454479,-45.602034,-11.362432,0.04936
0,0,0,0,0.026296
0.050058,-3.019191,-1.728698,3.48992,0.058651
0.1004,-6.727345,-3.832093,5.921862,0.053955
0.150559,-10.855549,-6.189204,7.226462,0.012851
0.200591,-15.056169,-8.604583,8.150596,0.008868
0.250609,-19.287339,-11.043973,8.84451,0.008815
0.300621,-23.538974,-13.499421,9.324076,0.007424
0.350647,-27.801518,-15.966849,9.601764,0.015743
0.400673,-32.064794,-18.447973,9.58311,0.001078
0.450759,-36.319696,-20.917777,9.247596,0.023124
0.500863,-40.514645,-23.347737,8.348478,0.021784
0.550927,-44.604956,-25.713094,6.935973,0.016953
0.600966,-48.576257,-28.006637,5.120784,0.015195
0.651,-52.417799,-30.219434,2.959015,0.012809
0.700826,-56.196677,-32.37647,0.637914,0.021312
0.750699,-60.128202,-34.627348,-1.314996,0.000657
0.800705,-64.055593,-36.87107,-3.284144,0.01505
0.850796,-67.87049,-39.037562,-5.537879,0.011406
0.900695,-71.606227,-41.151678,-7.969413,0.017246
0.95035,-75.465195,-43.34842,-10.114504,0.058172
1,-79.532744,-45.707423,-11.601907,0.046248
0,0,0,0,0.023539
0.049975,-3.008721,-1.738798,3.501356,0.056918
0.100063,-6.701356,-3.861265,5.951256,0.053604
0.150138,-10.825199,-6.231557,7.265273,0.012618
0.200168,-15.027477,-8.653308,8.1932,0.008849
0.250193,-19.262099,-11.096546,8.889865,0.008822
0.300216,-23.5183,-13.554214,9.371599,0.007434
0.350244,-27.786823,-16.021609,9.651251,0.016108
0.40027,-32.059537,-18.496934,9.633121,0.00055
0.450314,-36.322691,-20.963325,9.299484,0.023409
0.500358,-40.525029,-23.392295,8.403368,0.021768
0.550385,-44.621846,-25.758804,6.993315,0.017081
0.600403,-48.598904,-28.055178,5.180038,0.014894
0.65042,-52.445015,-30.274133,3.020724,0.011785
0.700362,-56.2216,-32.445277,0.697607,0.022168
0.750321,-60.152663,-34.706562,-1.25747,0.000406
0.800342,-64.079562,-36.962297,-3.227065,0.014931
0.850411,-67.891843,-39.144232,-5.481836,0.011014
0.900377,-71.622023,-41.273213,-7.919607,0.017598
0.950192,-75.477383,-43.479927,-10.073043,0.058618
1,-79.5511,-45.838496,-11.561534,0.046369
0,0,0,0,0.082266
0.050553,-2.45165,-1.347026,3.895301,0.042949
0.101643,-5.658378,-3.082576,6.987703,0.079267
0.15242,-9.554671,-5.210416,8.788034,0.035607
0.2025,-13.620363,-7.509631,9.901911,0.017054
0.252474,-17.73282,-9.870581,10.661292,0.013528
0.302419,-21.867543,-12.270676,11.117046,0.011747
0.352396,-26.008495,-14.697235,11.279726,0.01759
0.402397,-30.146525,-17.123808,11.062162,0.002821
0.452371,-34.275769,-19.533864,10.611293,0.021445
0.502556,-38.351212,-21.903825,9.705011,0.020903
0.552646,-42.330778,-24.212273,8.330145,0.016179
0.602656,-46.207275,-26.454793,6.596467,0.013265
0.652609,-49.983699,-28.633936,4.582911,0.004058
0.702073,-53.720911,-30.782582,2.466698,0.020878
0.751524,-57.609581,-32.99903,0.726072,0.007221
0.801247,-61.541626,-35.217462,-0.913541,0.010474
0.851164,-65.428288,-37.39771,-2.703775,0.014368
0.900922,-69.25673,-39.531788,-4.667903,0.02245
0.950439,-73.128587,-41.698959,-6.505806,0.003848
1,-77.077675,-43.955031,-8.043841,0.050746
0,0,0,0,0.085843
0.050649,-2.461481,-1.339764,3.883777,0.04237
0.101968,-5.683944,-3.060299,6.957729,0.078603
0.15291,-9.592052,-5.167001,8.740315,0.038156
0.203014,-13.658308,-7.45534,9.84751,0.017341
0.25299,-17.767181,-9.811199,10.602516,0.013574
0.302931,-21.895198,-12.210963,11.054798,0.011874
0.352912,-26.026818,-14.641187,11.214675,0.018029
0.402915,-30.1555,-17.071178,10.995172,0.003486
0.452893,-34.276653,-19.48231,10.543014,0.021791
0.503123,-38.344343,-21.851545,9.633169,0.02091
0.553235,-42.316647,-24.15811,8.255998,0.016144
0.603248,-46.186569,-26.397637,6.521109,0.013246
0.653191,-49.956998,-28.572985,4.507151,0.00344
0.702532,-53.691083,-30.717506,2.395557,0.020006
0.751866,-57.577793,-32.926148,0.657885,0.007519
0.801532,-61.509208,-35.132205,-0.981541,0.011889
0.851437,-65.396634,-37.29744,-2.771493,0.018139
0.901142,-69.228633,-39.414106,-4.732077,0.02543
0.950543,-73.104969,-41.565204,-6.562975,0.004301
1,-77.052673,-43.813495,-8.096383,0.051757
0,0,0,0,0.090644
0.050296,-2.47173,-1.379368,3.872814,0.029736
0.101175,-5.705688,-3.148059,6.918525,0.059927
0.15197,-9.624473,-5.285054,8.656603,0.025367
0.202126,-13.700178,-7.58197,9.743729,0.013669
0.252176,-17.816081,-9.941907,10.496805,0.012633
0.302192,-21.950203,-12.344266,10.962471,0.013226
0.352235,-26.089213,-14.775694,11.14952,0.020083
0.402291,-30.227571,-17.206912,10.956974,0.004156
0.452296,-34.358602,-19.619973,10.523215,0.022046
0.502512,-38.436842,-21.992211,9.628015,0.02112
0.552623,-42.419288,-24.302507,8.259693,0.016154
0.602648,-46.297822,-26.546232,6.528259,0.013258
0.652615,-50.075107,-28.72587,4.513416,0.004154
0.702093,-53.811433,-30.873837,2.391392,0.01968
0.751551,-57.69602,-33.086639,0.633186,0.005296
0.801294,-61.62147,-35.29613,-1.038258,0.015767
0.851269,-65.5011,-37.459972,-2.867638,0.023263
0.901056,-69.323085,-39.566019,-4.877631,0.021708
0.9505,-73.195057,-41.700154,-6.756773,0.003781
1,-77.147497,-43.943045,-8.310222,0.047923
0,0,0,0,0.087342
0.050202,-2.461917,-1.386612,3.88433,0.031136
0.100859,-5.680223,-3.170218,6.948432,0.061235
0.151483,-9.587163,-5.328198,8.704538,0.022356
0.201615,-13.662259,-7.636142,9.798264,0.013196
0.251661,-17.781728,-10.001254,10.555599,0.012649
0.301681,-21.922522,-12.404028,11.02456,0.013059
0.35172,-26.070798,-14.831885,11.214195,0.019582
0.401772,-30.218479,-17.259687,11.02366,0.003621
0.451776,-34.357623,-19.671615,10.591259,0.021652
0.501947,-38.443617,-22.044547,9.699668,0.021052
